fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
04/12/2021;Zamora;18879;58;2229;469;49275;41.75,-6.0
04/12/2021;Çvila;18322;65;2020;392;5019;40.616092,-4.929031
04/12/2021;Valladolid;71039;307;8359;1296;47186;41.583333,-4.666667
03/12/2021;Salamanca;41431;138;4420;892;37274;40.833333,-6.0
03/12/2021;Segovia;21860;48;2079;385;40004;41.166667,-4.0
03/12/2021;Valladolid;70732;300;8347;1295;47186;41.583333,-4.666667
03/12/2021;Zamora;18821;47;2225;469;49275;41.75,-6.0
03/12/2021;Çvila;18257;58;2013;390;5019;40.616092,-4.929031
03/12/2021;Burgos;54570;147;5059;811;9059;42.383333,-3.666667
03/12/2021;LeÇün;54015;140;5750;1226;24089;42.666667,-6.0
03/12/2021;Palencia;25651;89;2583;505;34120;42.432128,-4.520647
03/12/2021;Soria;12821;30;1431;297;42173;41.666667,-2.666667
02/12/2021;Çvila;18200;44;2006;388;5019;40.616092,-4.929031
02/12/2021;Valladolid;70434;271;8341;1295;47186;41.583333,-4.666667
02/12/2021;Salamanca;41293;85;4419;892;37274;40.833333,-6.0
02/12/2021;Segovia;21812;25;2079;385;40004;41.166667,-4.0
02/12/2021;Soria;12790;39;1430;296;42173;41.666667,-2.666667
02/12/2021;Zamora;18774;57;2223;469;49275;41.75,-6.0
02/12/2021;Burgos;54423;129;5054;811;9059;42.383333,-3.666667
02/12/2021;LeÇün;53875;169;5749;1226;24089;42.666667,-6.0
02/12/2021;Palencia;25562;43;2581;505;34120;42.432128,-4.520647
01/12/2021;Burgos;54294;116;5047;811;9059;42.383333,-3.666667
01/12/2021;Palencia;25519;28;2579;505;34120;42.432128,-4.520647
01/12/2021;Segovia;21787;24;2079;385;40004;41.166667,-4.0
01/12/2021;Soria;12751;32;1429;296;42173;41.666667,-2.666667
01/12/2021;Valladolid;70164;308;8337;1295;47186;41.583333,-4.666667
01/12/2021;Zamora;18717;42;2222;469;49275;41.75,-6.0
01/12/2021;Çvila;18156;62;2003;388;5019;40.616092,-4.929031
